"GEO_ID","NAME","B19301_001E","B19301_001M",
"Geography","Geographic Area Name","Estimate!!Per capita income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1400000US37027031402","Census Tract 314.02; Caldwell County; North Carolina","30561","3731",
"1400000US37027031403","Census Tract 314.03; Caldwell County; North Carolina","21687","3226",
"1400000US37029950101","Census Tract 9501.01; Camden County; North Carolina","35006","2579",
"1400000US37029950102","Census Tract 9501.02; Camden County; North Carolina","32840","3597",
"1400000US37031970101","Census Tract 9701.01; Carteret County; North Carolina","31335","12451",
"1400000US37031970102","Census Tract 9701.02; Carteret County; North Carolina","39653","4742",
"1400000US37031970103","Census Tract 9701.03; Carteret County; North Carolina","34127","4106",
"1400000US37031970200","Census Tract 9702; Carteret County; North Carolina","31649","4249",
"1400000US37031970301","Census Tract 9703.01; Carteret County; North Carolina","32143","4830",
"1400000US37031970304","Census Tract 9703.04; Carteret County; North Carolina","36457","8659",
"1400000US37031970305","Census Tract 9703.05; Carteret County; North Carolina","30779","3866",
"1400000US37031970401","Census Tract 9704.01; Carteret County; North Carolina","26812","4545",
"1400000US37031970402","Census Tract 9704.02; Carteret County; North Carolina","33295","5461",
"1400000US37031970403","Census Tract 9704.03; Carteret County; North Carolina","42120","6208",
"1400000US37031970501","Census Tract 9705.01; Carteret County; North Carolina","32294","4554",
"1400000US37031970502","Census Tract 9705.02; Carteret County; North Carolina","47701","4625",
"1400000US37031970503","Census Tract 9705.03; Carteret County; North Carolina","36316","6012",
"1400000US37031970504","Census Tract 9705.04; Carteret County; North Carolina","50259","5159",
"1400000US37031970601","Census Tract 9706.01; Carteret County; North Carolina","38087","5678",
"1400000US37031970602","Census Tract 9706.02; Carteret County; North Carolina","47811","7371",
"1400000US37031970603","Census Tract 9706.03; Carteret County; North Carolina","21685","4413",
"1400000US37031970606","Census Tract 9706.06; Carteret County; North Carolina","53896","7688",
"1400000US37031970701","Census Tract 9707.01; Carteret County; North Carolina","23304","3137",
"1400000US37031970702","Census Tract 9707.02; Carteret County; North Carolina","31047","4608",
"1400000US37031970703","Census Tract 9707.03; Carteret County; North Carolina","38003","11306",
"1400000US37031970704","Census Tract 9707.04; Carteret County; North Carolina","46524","10971",
"1400000US37031970801","Census Tract 9708.01; Carteret County; North Carolina","32719","3537",
"1400000US37031970804","Census Tract 9708.04; Carteret County; North Carolina","43623","3848",
"1400000US37031970805","Census Tract 9708.05; Carteret County; North Carolina","33827","6549",
"1400000US37031970806","Census Tract 9708.06; Carteret County; North Carolina","40670","4623",
"1400000US37031970903","Census Tract 9709.03; Carteret County; North Carolina","62363","7468",
"1400000US37031970904","Census Tract 9709.04; Carteret County; North Carolina","59523","12550",
"1400000US37031971003","Census Tract 9710.03; Carteret County; North Carolina","64179","8692",
"1400000US37031971103","Census Tract 9711.03; Carteret County; North Carolina","44749","6332",
"1400000US37031980100","Census Tract 9801; Carteret County; North Carolina","-","**",
"1400000US37031990100","Census Tract 9901; Carteret County; North Carolina","-","**",
"1400000US37031990200","Census Tract 9902; Carteret County; North Carolina","-","**",
"1400000US37033930100","Census Tract 9301; Caswell County; North Carolina","32823","8097",
"1400000US37033930200","Census Tract 9302; Caswell County; North Carolina","21371","3138",
"1400000US37033930300","Census Tract 9303; Caswell County; North Carolina","22435","3235",
"1400000US37033930400","Census Tract 9304; Caswell County; North Carolina","23149","3373",
"1400000US37033930500","Census Tract 9305; Caswell County; North Carolina","31334","3213",
"1400000US37033930600","Census Tract 9306; Caswell County; North Carolina","34883","4671",
"1400000US37035010101","Census Tract 101.01; Catawba County; North Carolina","34917","5256",
"1400000US37035010102","Census Tract 101.02; Catawba County; North Carolina","34229","3373",
"1400000US37035010201","Census Tract 102.01; Catawba County; North Carolina","26701","4310",
"1400000US37035010203","Census Tract 102.03; Catawba County; North Carolina","26171","5800",
"1400000US37035010204","Census Tract 102.04; Catawba County; North Carolina","26784","4515",
"1400000US37035010301","Census Tract 103.01; Catawba County; North Carolina","33553","3929",
"1400000US37035010302","Census Tract 103.02; Catawba County; North Carolina","40201","6797",
"1400000US37035010303","Census Tract 103.03; Catawba County; North Carolina","26757","3142",
